Recency,Frequency,Monetary
372,297,5391.21
31,172,3237.54
95,28,948.25
333,3,876.0
25,103,4668.3
7,324,5579.1
16,61,5411.91
0,2366,60632.75
87,67,2005.63
373,13,489.6
50,30,598.83
38,241,80850.84
261,24,389.44
2,963,91062.38
7,28,711.86
373,1,79.6
1,478,28117.04
2,368,17220.36
11,31,2962.5
16,194,3534.69
8,147,832.88
33,308,14758.220000000001
29,84,3084.68
109,6,1659.75
88,180,2995.72
373,54,232.03
4,665,4119.5
33,120,671.95
9,13,399.51
373,14,233.45
330,29,689.95
11,117,3190.55
3,568,65039.62
22,112,1465.12
21,388,7930.54
373,81,265.1
1,123,21086.3
172,108,541.8100000000001
23,404,4058.32
242,17,379.73
57,23,239.92000000000002
39,20,1008.5400000000001
373,71,313.49
0,4412,33053.19
53,122,405.04
185,107,1607.0600000000002
71,12,226.75000000000003
101,65,1049.37
45,39,2043.0800000000002
2,156,734.37
373,9,161.0
71,33,798.99
30,85,2564.5
184,25,518.67
373,5,115.65
36,67,1198.23
7,43,2888.75
373,11,369.5
7,52,363.33
373,27,487.75
99,110,2158.18
3,483,2622.88
373,8,101.55
1,7676,40519.84
80,43,1848.96
275,159,7832.47
9,720,16587.09
1,302,5704.97
21,25,287.59
80,204,2814.7
373,8,256.44
373,65,351.75
311,19,538.8100000000001
4,130,2078.95
2,45,1388.81
60,9,357.77
0,197,25977.16
30,252,4726.8
143,97,1603.99
94,29,622.4300000000001
11,164,7276.900000000001
373,22,311.81
28,143,2709.7000000000003
373,14,205.86
1,2677,12076.15
128,10,180.85
217,143,2247.51
10,126,6717.34
373,28,102.78999999999999
8,155,8910.82
0,78,6479.4
11,59,1400.34
281,104,1077.39
372,18,303.97
372,3,38.1
39,405,2626.6
372,17,208.97
8,32,1308.6100000000001
372,1,244.08
21,45,5112.96
2,252,8694.26
1,134,4690.31
372,10,350.06
11,410,6776.56
11,304,6127.43
190,48,1024.1000000000001
10,186,3212.84
11,96,1421.29
11,458,4097.37
24,183,4416.26
372,1,106.2
211,91,1522.75
29,84,1567.48
10,284,4642.57
290,25,787.15
100,77,1810.77
4,81,2000.86
175,17,340.93
4,202,6140.42
372,21,127.08
372,9,207.5
26,122,1049.06
372,16,326.0
148,22,363.65
9,259,3546.71
18,173,4812.42
8,109,20275.61
73,115,1836.0900000000001
10,240,4748.52
21,76,984.91
23,136,562.41
31,98,463.21
29,72,2272.4
25,29,550.06
372,13,248.1
82,140,1285.04
311,16,319.5
372,57,321.79
18,250,885.8
372,17,311.25
51,86,1215.82
22,218,4006.94
16,127,3155.83
0,439,11025.24
212,14,294.12
22,63,962.39
372,1,15.0
7,165,4331.48
3,403,54534.14
58,35,592.9
4,476,12416.11
177,152,675.64
57,140,757.1
26,117,2720.8
15,208,1906.09
29,42,697.55
2,66,1258.06
7,250,17286.86
58,60,1011.9
3,305,11189.91
17,158,2999.46
67,7,4507.01
157,35,447.64000000000004
127,39,621.23
1,740,5593.39
372,3,50.550000000000004
1,349,37153.85
372,2,2002.4
